source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
70322;Issue;12901;Component;IssueComponent;NULL
70322;Issue;13512;Version;IssueVersion;NULL
70322;Issue;15018;Version;IssueFixVersion;NULL
70323;Issue;13940;Component;IssueComponent;NULL
70324;Issue;12357;Component;IssueComponent;NULL
70324;Issue;12362;Component;IssueComponent;NULL
70324;Issue;14725;Version;IssueFixVersion;NULL
70325;Issue;13940;Component;IssueComponent;NULL
70326;Issue;13940;Component;IssueComponent;NULL
70327;Issue;13940;Component;IssueComponent;NULL
70328;Issue;13940;Component;IssueComponent;NULL
70329;Issue;14313;Component;IssueComponent;NULL
70330;Issue;14313;Component;IssueComponent;NULL
70331;Issue;13616;Component;IssueComponent;NULL
70331;Issue;15120;Version;IssueFixVersion;NULL
70331;Issue;15120;Version;IssueVersion;NULL
70332;Issue;12442;Component;IssueComponent;NULL
70332;Issue;14321;Component;IssueComponent;NULL
70332;Issue;15122;Version;IssueVersion;NULL
70332;Issue;15313;Version;IssueFixVersion;NULL
70333;Issue;13940;Component;IssueComponent;NULL
70334;Issue;13940;Component;IssueComponent;NULL
70335;Issue;13940;Component;IssueComponent;NULL
70336;Issue;13940;Component;IssueComponent;NULL
70337;Issue;13940;Component;IssueComponent;NULL
70338;Issue;13940;Component;IssueComponent;NULL
70339;Issue;13940;Component;IssueComponent;NULL
70340;Issue;13940;Component;IssueComponent;NULL
70341;Issue;13940;Component;IssueComponent;NULL
70342;Issue;13940;Component;IssueComponent;NULL
70343;Issue;13940;Component;IssueComponent;NULL
70344;Issue;13940;Component;IssueComponent;NULL
70345;Issue;13940;Component;IssueComponent;NULL
70346;Issue;13813;Component;IssueComponent;NULL
70346;Issue;15303;Version;IssueVersion;NULL
70346;Issue;15308;Version;IssueFixVersion;NULL
70350;Issue;13940;Component;IssueComponent;NULL
70351;Issue;13940;Component;IssueComponent;NULL
70352;Issue;13940;Component;IssueComponent;NULL
70353;Issue;13940;Component;IssueComponent;NULL
70356;Issue;12516;Component;IssueComponent;NULL
70356;Issue;15122;Version;IssueVersion;NULL
70356;Issue;15313;Version;IssueFixVersion;NULL
70357;Issue;12442;Component;IssueComponent;NULL
70357;Issue;12512;Component;IssueComponent;NULL
70357;Issue;14321;Component;IssueComponent;NULL
70357;Issue;15122;Version;IssueVersion;NULL
70357;Issue;15313;Version;IssueFixVersion;NULL
70358;Issue;13616;Component;IssueComponent;NULL
70358;Issue;14640;Version;IssueFixVersion;NULL
70358;Issue;14640;Version;IssueVersion;NULL
70358;Issue;15304;Version;IssueFixVersion;NULL
70360;Issue;12511;Component;IssueComponent;NULL
70360;Issue;13515;Component;IssueComponent;NULL
70360;Issue;15018;Version;IssueFixVersion;NULL
70360;Issue;15122;Version;IssueVersion;NULL
70362;Issue;14204;Component;IssueComponent;NULL
70362;Issue;15010;Version;IssueFixVersion;NULL
70363;Issue;16202;Version;IssueFixVersion;NULL
70364;Issue;13616;Component;IssueComponent;NULL
70364;Issue;14640;Version;IssueFixVersion;NULL
70364;Issue;14640;Version;IssueVersion;NULL
70365;Issue;12516;Component;IssueComponent;NULL
70365;Issue;12531;Component;IssueComponent;NULL
70365;Issue;13512;Version;IssueVersion;NULL
70366;Issue;12516;Component;IssueComponent;NULL
70366;Issue;12901;Component;IssueComponent;NULL
70366;Issue;13512;Version;IssueVersion;NULL
70368;Issue;12516;Component;IssueComponent;NULL
70368;Issue;12901;Component;IssueComponent;NULL
70368;Issue;15309;Version;IssueVersion;NULL
70371;Issue;12516;Component;IssueComponent;NULL
70371;Issue;12901;Component;IssueComponent;NULL
70371;Issue;13512;Version;IssueVersion;NULL
70372;Issue;13516;Component;IssueComponent;NULL
70372;Issue;15122;Version;IssueVersion;NULL
70373;Issue;13717;Component;IssueComponent;NULL
70374;Issue;14917;Version;IssueFixVersion;NULL
70375;Issue;12516;Component;IssueComponent;NULL
70375;Issue;12901;Component;IssueComponent;NULL
70375;Issue;13512;Version;IssueVersion;NULL
70376;Issue;12516;Component;IssueComponent;NULL
70376;Issue;12901;Component;IssueComponent;NULL
70376;Issue;13512;Version;IssueVersion;NULL
70377;Issue;12516;Component;IssueComponent;NULL
70377;Issue;12901;Component;IssueComponent;NULL
70377;Issue;13512;Version;IssueVersion;NULL
70379;Issue;12516;Component;IssueComponent;NULL
70379;Issue;12901;Component;IssueComponent;NULL
70379;Issue;13512;Version;IssueVersion;NULL
70380;Issue;12516;Component;IssueComponent;NULL
70380;Issue;12531;Component;IssueComponent;NULL
70380;Issue;13512;Version;IssueVersion;NULL
70381;Issue;12516;Component;IssueComponent;NULL
70381;Issue;12901;Component;IssueComponent;NULL
70381;Issue;13512;Version;IssueVersion;NULL
70381;Issue;15018;Version;IssueFixVersion;NULL
70383;Issue;12516;Component;IssueComponent;NULL
70383;Issue;12901;Component;IssueComponent;NULL
70383;Issue;13512;Version;IssueVersion;NULL
70384;Issue;13620;Component;IssueComponent;NULL
70384;Issue;15420;Version;IssueFixVersion;NULL
